time	I(R_load)
Step Information: Rload=500m  (Step: 1/2)
3.292484243853982e-06	8.157947e-07
3.302484243853981e-06	8.003407e-07
3.312484243853981e-06	7.847707e-07
3.322484243853981e-06	7.690867e-07
3.332484243853981e-06	7.532905e-07
3.342484243853981e-06	7.373841e-07
3.352484243853981e-06	7.213692e-07
3.362484243853981e-06	7.052478e-07
3.372484243853981e-06	6.890219e-07
3.382484243853981e-06	6.726934e-07
3.392484243853981e-06	6.562643e-07
3.402484243853980e-06	6.397364e-07
3.412484243853980e-06	6.231118e-07
3.422484243853980e-06	6.063926e-07
3.432484243853980e-06	5.895806e-07
3.442484243853980e-06	5.726781e-07
3.452484243853980e-06	5.556868e-07
3.462484243853980e-06	5.386091e-07
3.472484243853980e-06	5.214469e-07
3.482484243853980e-06	5.042021e-07
3.492484243853980e-06	4.868772e-07
3.502484243853980e-06	4.694740e-07
3.512484243853979e-06	4.519947e-07
3.522484243853979e-06	4.344414e-07
3.532484243853979e-06	4.168163e-07
3.542484243853979e-06	3.991215e-07
3.552484243853979e-06	3.813591e-07
3.562484243853979e-06	3.635314e-07
3.572484243853979e-06	3.456404e-07
3.582484243853979e-06	3.276885e-07
3.592484243853979e-06	3.096777e-07
3.602484243853979e-06	2.916103e-07
3.612484243853978e-06	2.734884e-07
3.622484243853978e-06	2.553144e-07
3.632484243853978e-06	2.370904e-07
3.642484243853978e-06	2.188187e-07
3.652484243853978e-06	2.005014e-07
3.662484243853978e-06	1.821409e-07
3.672484243853978e-06	1.637394e-07
3.682484243853978e-06	1.452991e-07
3.692484243853978e-06	1.268223e-07
3.702484243853978e-06	1.083113e-07
3.712484243853977e-06	8.976836e-08
3.722484243853977e-06	7.119574e-08
3.732484243853977e-06	5.259571e-08
3.742484243853977e-06	3.397056e-08
3.752484243853977e-06	1.532259e-08
3.762484243853977e-06	-3.345918e-09
3.772484243853977e-06	-2.203267e-08
3.782484243853977e-06	-4.073537e-08
3.792484243853977e-06	-5.945171e-08
3.802484243853977e-06	-7.817941e-08
3.812484243853977e-06	-9.691615e-08
3.822484243853977e-06	-1.156596e-07
3.832484243853977e-06	-1.344076e-07
3.842484243853977e-06	-1.531576e-07
3.852484243853977e-06	-1.719075e-07
3.862484243853976e-06	-1.906550e-07
3.872484243853976e-06	-2.093976e-07
3.882484243853976e-06	-2.281332e-07
3.892484243853976e-06	-2.468594e-07
3.902484243853976e-06	-2.655740e-07
3.912484243853976e-06	-2.842745e-07
3.922484243853976e-06	-3.029588e-07
3.932484243853976e-06	-3.216245e-07
3.942484243853976e-06	-3.402694e-07
3.952484243853976e-06	-3.588911e-07
3.962484243853976e-06	-3.774874e-07
3.972484243853975e-06	-3.960560e-07
3.982484243853975e-06	-4.145946e-07
